"iid","time","origin","airline","aircraft","flightPhase","impact","cond","aid"
202152,"11/23/2000","New York","US AIRWAYS*","B-737-400","inflight","1","1","1"
208159,"7/25/2001","Texas","AMERICAN AIRLINES","MD-80","landing","1","2","2"
207601,"9/14/2001","Louisiana","BUSINESS","C-500","inflight","0","1","3"
215953,"9/5/2002","Washington","ALASKA AIRLINES","B-737-400","inflight","0","2","4"
219878,"6/23/2003","Virginia","COMAIR AIRLINES","CL-RJ100/200","inflight","0","1","5"
218432,"7/24/2003","N/A","AMERICAN AIRLINES","A-300","takeoff","0","1","6"
221697,"8/17/2003","Delaware","BUSINESS","LEARJET-25","inflight","1","1","7"
236635,"3/1/2006","DC","UNITED AIRLINES","A-320","inflight","1","2","8"
207369,"1/6/2000","Georgia","AIRTRAN AIRWAYS","DC-9-30","takeoff","0","2","9"
204371,"1/7/2000","Florida","AIRTOURS INTL","A-330","landing","0","2","10"
201589,"1/8/2000","California","AMERICA WEST AIRLINES","A-320","inflight","0","2","11"
205958,"1/20/2000","Illinois","AMERICAN AIRLINES","FOKKER F100","inflight","1","1","12"
200220,"1/30/2000","Connecticut","BUSINESS","C-421","landing","0","3","13"
200219,"1/30/2000","Missouri","EXECUTIVE JET AVIATION","C-560","inflight","0","3","14"
203756,"1/30/2000","Rhode Island","US AIRWAYS*","B-737-200","inflight","0","1","15"
204061,"2/1/2000","Missouri","TRANS WORLD AIRLINES","MD-80","inflight","0","2","16"
202604,"2/11/2000","Hawaii","HAWAIIAN AIR","DC-9-50","takeoff","0","1","17"
201044,"2/12/2000","Arizona","AMERICA WEST AIRLINES","B-737","landing","0","3","18"
202254,"2/18/2000","Tennessee","US AIRWAYS*","B-737-400","inflight","0","2","19"
205346,"2/23/2000","South Carolina","BUSINESS","C-560","inflight","1","2","20"
201610,"2/25/2000","Illinois","UNITED AIRLINES","B-737-300","inflight","0","3","12"
202454,"2/29/2000","DC","DELTA AIR LINES","B-737-200","inflight","0","1","8"
201013,"2/29/2000","Florida","AIR TRANSAT","B-737-400","landing","0","2","21"
