"airportName","state","aid","airportCode"
"LAGUARDIA NY","New York",1,"none"
"DALLAS/FORT WORTH INTL ARPT","Texas",2,"none"
"LAKEFRONT AIRPORT","Louisiana",3,"none"
"SEATTLE-TACOMA INTL","Washington",4,"none"
"NORFOLK INTL","Virginia",5,"none"
"GUAYAQUIL/S BOLIVAR","N/A",6,"none"
"NEW CASTLE COUNTY","Delaware",7,"none"
"WASHINGTON DULLES INTL ARPT","DC",8,"none"
"ATLANTA INTL","Georgia",9,"none"
"ORLANDO SANFORD INTL AIRPORT","Florida",10,"none"
"ONTARIO INTL ARPT","California",11,"none"
"CHICAGO O'HARE INTL ARPT","Illinois",12,"none"
"GROTON-NEW LONDON AR","Connecticut",13,"none"
"SPIRIT OF ST LOUIS","Missouri",14,"none"
"THEODORE FRANCIS GREEN STATE","Rhode Island",15,"none"
"KANSAS CITY INTL","Missouri",16,"none"
"LIHUE ARPT","Hawaii",17,"none"
"PHOENIX SKY HARBOR","Arizona",18,"none"
"NASHVILLE INTL","Tennessee",19,"none"
"JIM HAMILTON L B OWENS ARPT","South Carolina",20,"none"
"SOUTHWEST FLORIDA INTL ARPT","Florida",21,"none"
"ABERDEEN REGIONAL AR","South Dakota",22,"none"
"NEWARK LIBERTY INTL ARPT","New Jersey",23,"none"
"ASPEN-PITKIN CO/SARD","Colorado",24,"none"
"ROCHESTER INTL","Minnesota",25,"none"
"MINNEAPOLIS-ST PAUL INTL","Minnesota",26,"none"
"PUEBLO MEMORIAL ARPT","Colorado",27,"none"
"WESTCHESTER COUNTY ARPT","New York",28,"none"
"BIRMINGHAM-SHUTTLESWORTH INTL","Alabama",29,"none"
"TAHITI FAAA","N/A",30,"none"
"ORLANDO INTL","Florida",31,"none"
"MYRTLE BEACH INTL","South Carolina",32,"none"
"LAFAYETTE REGIONAL (LA)","Louisiana",33,"none"
"CLEVELAND-HOPKINS INTL ARPT","Ohio",34,"none"
"SAN FRANCISCO INTL ARPT","California",35,"none"
"CENTRAL WISCONSIN ARPT","Wisconsin",36,"none"
"BARKSDALE AIR FORCE BASE ARPT","Louisiana",37,"none"
"DETROIT METRO WAYNE COUNTY ARPT","Michigan",38,"none"
"TOLEDO EXPRESS ARPT","Ohio",39,"none"
"METRO OAKLAND INTL","California",40,"none"
"BEVERLY MUNICIPAL ARPT","Massachusetts",41,"none"
"TED STEVENS ANCHORAGE INTL","Alaska",42,"none"
"CHARLOTTE/DOUGLAS INTL ARPT","North Carolina",43,"none"
"CINCINNATI/NORTHERN KENTUCKY INTL ARPT","Kentucky",44,"none"
"GREATER PEORIA REGIONAL ARPT","Illinois",45,"none"
"INDIANAPOLIS INTL","Indiana",46,"none"
"LOUISVILLE INTL ARPT","Kentucky",47,"none"
"PORTLAND INTL (OR)","Oregon",48,"none"
"STEWART INTL AIRPORT","New York",49,"none"
"LOS ANGELES INTL","California",50,"none"
"BURKE LAKEFRONT","Ohio",51,"none"
"PHILADELPHIA INTL","Pennsylvania",52,"none"
"CAPITAL CITY (MI)","Michigan",53,"none"
"CAPITAL (BEIJING)","N/A",54,"none"
"PEASE INTL TRADEPORT","New Hampshire",55,"none"
"SAVANNAH INTL","Georgia",56,"none"
"HILO INTL ARPT","Hawaii",57,"none"
"FORT LAUDERDALE/HOLLYWOOD INTL","Florida",58,"none"
"DALLAS LOVE FIELD ARPT","Texas",59,"none"
"LOGAN INTL","Massachusetts",60,"none"
"DENVER INTL AIRPORT","Colorado",61,"none"
"KALAMAZOO/BATTLE CREEK INTL","Michigan",62,"none"
"GERALD R FORD INTL","Michigan",63,"none"
"FORT SMITH MUNICIPAL ARPT","Arkansas",64,"none"
"MCCARREN INTL","Nevada",65,"none"
"HESLER-NOBLE FIELD ARPT","Mississippi",66,"none"
"PENSACOLA REGIONAL","Florida",67,"none"
"BALTIMORE WASH INTL","Maryland",68,"none"
"LAURENCE G HANSCOM","Massachusetts",69,"none"
"PANAMA CITY - BAY COUNTY INTL","Florida",70,"none"
"SUVA FIJI","N/A",71,"none"
"OXNARD ARPT","California",72,"none"
"MORRISTOWN MUNICIPAL ARPT","New Jersey",73,"none"
"TRENTON MERCER ARPT","New Jersey",74,"none"
"TETERBORO AIRPORT","New Jersey",75,"none"
"SANFORD REGIONAL ARPT","Maine",76,"none"
"MEMPHIS INTL","Tennessee",77,"none"
"GREATER ROCHESTER INTL","New York",78,"none"
"SAINT HUBERT","Quebec",79,"none"
"RALEIGH-DURHAM INTL","North Carolina",80,"none"
"DUPAGE AIRPORT","Illinois",81,"none"
"ROANOKE REGIONAL","Virginia",82,"none"
"","Louisiana",83,"none"
"EL PASO INTL ARPT","Texas",84,"none"
"PALM BEACH INTL","Florida",85,"none"
"LEWISTON-NEZ PERCE CO ARPT","Idaho",86,"none"
"BLOOMINGTON/NORMAL","Illinois",87,"none"
"INDIANAPOLIS REGIONAL ARPT","Indiana",88,"none"
"JACKSON EVERS INTL","Mississippi",89,"none"
"VANCOUVER INTL","British Columbia",90,"none"
"LEHIGH VALLEY INTL","Pennsylvania",91,"none"
"SALT LAKE CITY INTL","Utah",92,"none"
"QUAD CITY ARPT","Illinois",93,"none"
"PORT COLUMBUS INTL","Ohio",94,"none"
"EPPLEY AIRFIELD","Nebraska",95,"none"
"BOB HOPE ARPT","California",96,"none"
"GENERAL MITCHELL INTL","Wisconsin",97,"none"
"FRESNO YOSEMITE INTL","California",98,"none"
"UNIVERSITY PARK ARPT","Pennsylvania",99,"none"
"COLORADO SPRINGS MUNICIPAL","Colorado",100,"none"
"FORT WAYNE INTL","Indiana",101,"none"
"KEARNEY MUNICIPAL","Nebraska",102,"none"
"TOCUMEN INTL","N/A",103,"none"
"WATERLOO REGIONAL ARPT","Iowa",104,"none"
"SANTO DOMINGO/LAS AM","N/A",105,"none"
"ALBANY INTL","New York",106,"none"
"SACRAMENTO INTL","California",107,"none"
"JOHN F KENNEDY INTL","New York",108,"none"
